Date,Opponent,Location,Points For,Points Against
2005-12-29,Utah,Neutral,10,38
2005-11-26,Georgia,Home,7,14
2005-11-19,Miami-FL,Away,14,10
2005-11-12,Virginia,Away,17,27
2005-11-05,Wake Forest,Home,30,17
2005-10-29,Clemson,Home,10,9
2005-10-15,Duke,Away,35,10
2005-10-06,North Carolina State,Home,14,17
2005-09-24,Virginia Tech,Away,7,51
2005-09-17,Connecticut,Home,28,13
2005-09-10,North Carolina,Home,27,21
2005-09-03,Auburn,Away,23,14
2004-12-21,Syracuse,Neutral,51,14
2004-11-27,Georgia,Away,13,19
2004-11-20,Virginia,Home,10,30
2004-11-13,Connecticut,Home,30,10
2004-11-06,North Carolina State,Away,24,14
2004-10-28,Virginia Tech,Home,20,34
2004-10-16,Duke,Home,24,7
2004-10-09,Maryland,Away,20,7
2004-10-02,Miami-FL,Home,3,27
2004-09-18,North Carolina,Away,13,34
2004-09-11,Clemson,Away,28,24
2004-09-04,Samford,Home,28,7
2003-11-29,Georgia,Home,17,34
2003-11-22,Virginia,Away,17,29
2003-11-15,North Carolina,Home,41,24
2003-11-08,Duke,Away,17,41
2003-10-23,Maryland,Home,7,3
2003-10-11,Wake Forest,Away,24,7
2003-10-04,North Carolina State,Home,29,21
2003-09-27,Vanderbilt,Away,24,17
2003-09-20,Clemson,Home,3,39
2003-09-13,Florida State,Away,13,14
2003-09-06,Auburn,Home,17,3
2003-08-28,Brigham Young,Away,13,24
2003-01-03,Tulsa,Neutral,52,10
2002-12-31,Fresno State,Neutral,21,30
2002-11-30,Georgia,Away,7,51
2002-11-16,Duke,Home,17,2
2002-11-09,Florida State,Home,13,21
2002-11-02,North Carolina State,Away,24,17
2002-10-26,Virginia,Home,23,15
2002-10-17,Maryland,Away,10,34
2002-10-05,Wake Forest,Home,21,24
2002-09-28,North Carolina,Away,21,13
2002-09-21,Brigham Young,Home,28,19
2002-09-14,Clemson,Away,19,24
2002-09-07,Connecticut,Away,31,14
2002-08-31,Vanderbilt,Home,45,3
2001-12-27,Stanford,Neutral,24,14
2001-12-01,Florida State,Away,17,28
2001-11-24,Georgia,Home,17,31
2001-11-17,Wake Forest,Away,38,33
2001-11-10,Virginia,Away,38,39
2001-11-01,North Carolina,Home,28,21
2001-10-20,North Carolina State,Home,27,17
2001-10-11,Maryland,Home,17,20
2001-10-06,Duke,Away,37,10
2001-09-29,Clemson,Home,44,47
2001-09-08,Navy,Away,70,7
2001-09-01,Citadel,Home,35,7
2001-08-26,Syracuse,Neutral,13,7
2000-12-29,Louisiana State,Neutral,14,28
2000-11-25,Georgia,Away,27,15
2000-11-18,Maryland,Away,35,22
2000-11-09,Virginia,Home,35,0
2000-10-28,Clemson,Away,31,28
2000-10-21,Duke,Home,45,10
2000-10-14,Wake Forest,Home,52,20
2000-09-30,North Carolina,Away,42,28
2000-09-21,North Carolina State,Away,23,30
2000-09-16,Navy,Home,40,13
2000-09-09,Florida State,Home,21,26
2000-09-02,Central Florida,Home,21,17
1999-11-27,Georgia,Home,51,48
1999-11-20,Wake Forest,Away,23,26
1999-11-13,Clemson,Home,45,42
1999-11-06,Virginia,Away,38,45
1999-10-30,North Carolina State,Home,48,21
1999-10-16,Duke,Away,38,31
1999-10-09,North Carolina,Home,31,24
1999-09-30,Maryland,Home,49,31
1999-09-18,Central Florida,Home,41,10
1999-09-11,Florida State,Away,35,41
1999-09-04,Navy,Away,49,14
1999-01-01,Miami-FL,Neutral,13,28
1998-11-28,Georgia,Away,21,19
1998-11-21,Wake Forest,Home,63,35
1998-11-12,Clemson,Away,24,21
1998-10-31,Maryland,Neutral,31,14
1998-10-24,Florida State,Home,7,34
1998-10-17,Virginia,Home,41,38
1998-10-10,North Carolina State,Away,47,24
1998-10-03,Duke,Home,41,13
1998-09-26,North Carolina,Away,43,21
1998-09-12,New Mexico State,Home,42,7
1998-09-05,Boston College,Home,31,41
1998-01-01,Notre Dame,Neutral,35,28
1997-12-29,West Virginia,Neutral,35,30
1997-11-29,Georgia,Home,24,27
1997-11-22,Maryland,Home,37,18
1997-11-15,Duke,Away,41,38
1997-11-08,Virginia,Away,31,35
1997-10-30,North Carolina,Home,13,16
1997-10-18,Florida State,Away,0,38
1997-10-11,North Carolina State,Home,27,17
1997-10-04,Boston College,Away,42,14
1997-09-27,Clemson,Home,23,20
1997-09-20,Wake Forest,Away,28,26
1997-09-06,Notre Dame,Away,13,17
1996-11-30,Georgia,Away,10,19
1996-11-23,Navy,Home,26,36
1996-11-14,Maryland,Away,10,13
1996-11-02,Florida State,Home,3,49
1996-10-26,Central Florida,Home,27,20
1996-10-19,Clemson,Away,25,28
1996-10-05,Virginia,Home,13,7
1996-09-26,Duke,Home,48,22
1996-09-21,North Carolina,Away,0,16
1996-09-14,Wake Forest,Home,30,10
1996-09-07,North Carolina State,Away,28,16
1995-11-23,Georgia,Home,17,18
1995-11-11,North Carolina State,Home,27,19
1995-11-04,Wake Forest,Away,24,23
1995-10-28,Clemson,Home,3,24
1995-10-21,Florida State,Away,10,42
1995-10-14,North Carolina,Home,27,25
1995-10-07,Duke,Away,37,21
1995-09-28,Maryland,Home,31,3
1995-09-16,Virginia,Away,14,41
1995-09-07,Arizona,Away,19,20
1995-09-02,Furman,Home,51,7
1994-11-25,Georgia,Away,10,48
1994-11-19,Wake Forest,Home,13,20
1994-11-12,Clemson,Away,10,20
1994-11-05,Florida State,Home,10,41
1994-10-22,Maryland,Away,27,42
1994-10-15,Virginia,Home,7,24
1994-10-08,North Carolina,Away,24,31
1994-10-01,North Carolina State,Away,13,21
1994-09-24,Duke,Home,12,27
1994-09-10,Western Carolina,Home,45,26
1994-09-01,Arizona,Home,14,19
1993-11-25,Georgia,Home,10,43
1993-11-13,Wake Forest,Away,38,28
1993-11-06,Baylor,Home,37,27
1993-10-30,Duke,Away,47,14
1993-10-23,North Carolina State,Away,23,28
1993-10-16,North Carolina,Home,3,41
1993-10-09,Maryland,Home,38,0
1993-10-02,Florida State,Away,0,51
1993-09-25,Clemson,Away,13,16
1993-09-16,Virginia,Home,14,35
1993-09-11,Furman,Home,37,3
1992-11-28,Georgia,Away,17,31
1992-11-14,Wake Forest,Home,10,23
1992-11-07,Baylor,Away,27,31
1992-10-31,Duke,Home,20,17
1992-10-24,North Carolina,Away,14,26
1992-10-17,Florida State,Home,24,29
1992-10-10,Maryland,Away,28,26
1992-10-03,North Carolina State,Home,16,13
1992-09-26,Clemson,Home,20,16
1992-09-19,Virginia,Away,24,55
1992-09-12,Western Carolina,Home,37,19
1991-12-25,Stanford,Neutral,18,17
1991-11-30,Georgia,Home,15,18
1991-11-16,Wake Forest,Home,27,3
1991-11-09,Furman,Home,19,17
1991-11-02,Duke,Away,17,6
1991-10-26,North Carolina,Home,35,14
1991-10-19,South Carolina,Away,14,23
1991-10-12,Maryland,Home,34,10
1991-10-05,North Carolina State,Away,21,28
