Date,Opponent,Location,Points For,Points Against
1957-10-19,Auburn,Home,0,3
1957-10-12,Louisiana State,Away,13,20
1957-09-28,Southern Methodist,Home,0,0
1957-09-21,Kentucky,Home,13,0
1956-12-29,Pittsburgh,Neutral,21,14
1956-12-01,Georgia,Away,35,0
1956-11-24,Florida,Neutral,28,0
1956-11-17,Alabama,Home,27,0
1956-11-10,Tennessee,Home,0,6
1956-11-03,Duke,Away,7,0
1956-10-27,Tulane,Home,40,0
1956-10-20,Auburn,Home,28,7
1956-10-13,Louisiana State,Home,39,7
1956-09-29,Southern Methodist,Away,9,7
1956-09-22,Kentucky,Away,14,6
1955-11-26,Georgia,Home,21,3
1955-11-12,Alabama,Neutral,26,2
1955-11-05,Tennessee,Away,7,7
1955-10-29,Duke,Home,27,0
1955-10-22,Florida State,Home,34,0
1955-10-15,Auburn,Home,12,14
1955-10-08,Louisiana State,Away,7,0
1955-10-01,Southern Methodist,Home,20,7
1955-09-24,Florida,Away,14,7
1955-09-17,Miami-FL,Home,14,6
1955-01-02,Pittsburgh,Neutral,7,0
1954-11-27,Georgia,Away,7,3
1954-11-13,Alabama,Home,20,0
1954-11-06,Tennessee,Home,28,7
1954-10-30,Duke,Away,20,21
1954-10-23,Kentucky,Home,6,13
1954-10-16,Auburn,Home,14,7
1954-10-09,Louisiana State,Home,30,20
1954-10-02,Southern Methodist,Away,10,7
1954-09-25,Florida,Home,12,13
1954-09-18,Tulane,Home,28,0
1954-01-01,Arkansas,Neutral,14,6
1953-11-28,Georgia,Home,28,12
1953-11-21,Duke,Home,13,10
1953-11-14,Alabama,Neutral,6,13
1953-11-07,Clemson,Home,20,7
1953-10-31,Vanderbilt,Away,43,0
1953-10-24,Notre Dame,Away,14,27
1953-10-17,Auburn,Home,36,6
1953-10-10,Tulane,Away,27,13
1953-10-03,Southern Methodist,Home,6,4
1953-09-26,Florida,Away,0,0
1953-09-19,Davidson,Home,53,0
1953-01-01,West Virginia,Neutral,42,19
1952-11-29,Georgia,Away,23,9
1952-11-22,Florida State,Home,30,0
1952-11-15,Alabama,Home,7,3
1952-11-08,Army,Home,45,6
1952-11-01,Duke,Away,28,7
1952-10-25,Vanderbilt,Home,30,0
1952-10-18,Auburn,Home,33,0
1952-10-11,Tulane,Home,14,0
1952-10-04,Southern Methodist,Away,20,7
1952-09-27,Florida,Home,17,14
1952-09-20,Citadel,Home,54,6
1952-01-01,Mississippi,Neutral,24,7
1951-12-01,Georgia,Home,48,6
1951-11-24,Davidson,Home,34,7
1951-11-17,Alabama,Neutral,27,7
1951-11-10,Virginia Military Institute,Home,34,7
1951-11-03,Duke,Home,14,14
1951-10-27,Vanderbilt,Away,8,7
1951-10-20,Auburn,Home,27,7
1951-10-13,Louisiana State,Home,25,7
1951-10-06,Kentucky,Away,13,7
1951-09-29,Florida,Away,27,0
1951-09-22,Southern Methodist,Home,21,7
1951-01-01,Baylor,Neutral,17,14
1950-12-02,Georgia,Away,7,0
1950-11-25,Davidson,Home,46,14
1950-11-18,Alabama,Home,19,54
1950-11-11,Virginia Military Institute,Home,13,14
1950-11-04,Duke,Away,21,30
1950-10-28,Kentucky,Home,14,28
1950-10-21,Auburn,Home,20,0
1950-10-14,Louisiana State,Away,13,0
1950-10-07,Florida,Home,16,13
1950-09-30,South Carolina,Home,0,7
1950-09-23,Southern Methodist,Away,13,33
1949-11-26,Georgia,Home,7,6
1949-11-19,South Carolina,Home,13,3
1949-11-12,Alabama,Neutral,7,20
1949-11-05,Tennessee,Away,30,13
1949-10-29,Duke,Home,14,27
1949-10-22,Florida,Away,43,14
1949-10-15,Auburn,Home,35,21
1949-10-08,Washington & Lee,Home,36,0
1949-10-01,Tulane,Away,0,18
1949-09-24,Vanderbilt,Home,12,7
1948-11-27,Georgia,Away,13,21
1948-11-20,Citadel,Home,54,0
1948-11-13,Alabama,Home,12,14
1948-11-06,Tennessee,Home,6,13
1948-10-30,Duke,Away,19,7
1948-10-23,Florida,Home,42,7
1948-10-16,Auburn,Home,27,0
1948-10-09,Washington & Lee,Home,27,0
1948-10-02,Tulane,Home,13,7
1948-09-25,Vanderbilt,Away,13,0
1947-11-29,Georgia,Home,7,0
1947-11-22,Furman,Home,51,0
1947-11-15,Alabama,Neutral,7,14
1947-11-08,Navy,Neutral,16,14
1947-11-01,Duke,Home,7,0
1947-10-25,Citadel,Home,38,0
1947-10-18,Auburn,Home,27,7
1947-10-11,Virginia Military Institute,Home,20,0
1947-10-04,Tulane,Away,20,0
1947-09-27,Tennessee,Home,27,0
1947-01-01,Kansas,Neutral,20,14
1946-11-30,Georgia,Away,7,35
1946-11-23,Furman,Home,41,7
1946-11-16,Tulane,Home,35,7
1946-11-09,Navy,Home,28,20
1946-11-02,Duke,Away,14,0
1946-10-26,Auburn,Home,27,6
1946-10-19,Louisiana State,Away,26,7
1946-10-12,Mississippi,Home,24,7
1946-10-05,Virginia Military Institute,Home,32,6
1946-09-28,Tennessee,Away,9,13
1946-01-01,St. Mary's,Neutral,41,19
1945-12-01,Georgia,Home,0,33
1945-11-24,Clemson,Home,7,21
1945-11-17,Louisiana State,Home,7,9
1945-11-10,Tulane,Away,41,7
1945-11-03,Duke,Home,6,14
1945-10-27,Auburn,Home,20,7
1945-10-20,Navy,Neutral,6,20
1945-10-13,Samford,Home,43,0
1945-10-06,Notre Dame,Home,7,40
1945-09-29,North Carolina,Away,20,14
1944-12-02,Georgia,Away,44,0
1944-11-25,Notre Dame,Home,0,21
1944-11-18,Louisiana State,Away,14,6
1944-11-11,Tulane,Home,34,7
1944-11-04,Duke,Away,13,19
1944-10-27,Georgia Pre-Flight,Home,13,7
1944-10-21,Navy,Home,17,15
1944-10-14,Auburn,Home,27,0
1944-10-07,North Carolina,Home,28,0
1944-09-30,Clemson,Home,51,0
1944-01-01,Tulsa,Neutral,12,26
1943-11-27,Georgia,Home,48,0
1943-11-20,Clemson,Home,41,6
1943-11-13,Tulane,Away,33,0
1943-11-06,Louisiana State,Home,42,7
1943-10-30,Duke,Home,7,14
1943-10-23,Navy,Neutral,14,28
1943-10-16,Fort Benning,Home,27,0
1943-10-09,Georgia Pre-Flight,Home,35,7
1943-10-02,Notre Dame,Away,13,55
1943-09-25,North Carolina,Home,20,7
1943-01-01,Tulsa,Neutral,20,18
1942-11-28,Georgia,Away,0,34
1942-11-21,Florida,Home,20,7
1942-11-14,Alabama,Home,7,0
1942-11-07,Kentucky,Home,47,7
1942-10-31,Duke,Away,26,7
1942-10-24,Navy,Away,21,0
1942-10-17,Davidson,Home,33,0
1942-10-10,Tennessee-Chattanooga,Home,30,12
1942-10-03,Notre Dame,Away,13,6
1942-09-26,Auburn,Home,15,0
1942-01-01,Texas,Neutral,7,14
1941-11-29,Georgia,Home,0,21
1941-11-22,Florida,Away,7,14
1941-11-15,Alabama,Neutral,0,20
1941-11-08,Kentucky,Home,20,13
1941-11-01,Duke,Home,0,14
1941-10-25,Auburn,Home,28,14
1941-10-18,Vanderbilt,Away,7,14
1941-10-11,Notre Dame,Home,0,20
1941-10-04,Tennessee-Chattanooga,Home,20,0
1940-12-28,California,Home,13,0
1940-11-30,Georgia,Away,19,21
1940-11-23,Florida,Home,7,16
1940-11-16,Alabama,Home,13,14
1940-11-09,Kentucky,Neutral,7,26
1940-11-02,Duke,Away,7,41
1940-10-26,Auburn,Home,7,16
1940-10-19,Vanderbilt,Home,19,0
1940-10-12,Notre Dame,Away,20,26
1940-10-05,Samford,Home,27,0
1939-12-02,Georgia,Home,13,0
1939-11-25,Florida,Away,21,7
1939-11-18,Alabama,Neutral,6,0
1939-11-11,Kentucky,Home,13,6
1939-11-04,Duke,Home,6,7
1939-10-28,Auburn,Home,7,6
1939-10-21,Vanderbilt,Home,14,6
1939-10-14,Samford,Home,35,0
1939-10-07,Notre Dame,Away,14,17
1939-01-01,Missouri,Neutral,21,7
1938-12-26,California,Away,0,13
1938-11-27,Georgia,Away,0,0
1938-11-19,Florida,Home,0,0
1938-11-12,Alabama,Home,14,14
1938-11-05,Kentucky,Home,19,18
1938-10-29,Vanderbilt,Away,7,13
1938-10-22,Auburn,Home,7,6
1938-10-15,Duke,Away,0,6
1938-10-08,Notre Dame,Home,6,14
1938-10-01,Mercer,Home,19,0
1937-11-27,Georgia,Home,6,6
1937-11-20,Florida,Away,12,0
1937-11-13,Alabama,Neutral,0,7
1937-11-06,Clemson,Home,7,0
1937-10-30,Vanderbilt,Home,14,0
1937-10-23,Auburn,Home,0,21
1937-10-16,Duke,Home,19,20
1937-10-09,Kentucky,Away,32,0
1937-10-02,Mercer,Home,28,0
1937-09-24,Presbyterian,Home,59,0
1936-12-26,California,Home,13,7
1936-11-28,Georgia,Away,6,16
1936-11-21,Florida,Home,38,14
1936-11-14,Alabama,Home,16,20
1936-11-07,Auburn,Home,12,13
1936-10-31,Clemson,Home,13,14
1936-10-24,Vanderbilt,Away,0,0
1936-10-17,Duke,Away,6,19
1936-10-10,Kentucky,Home,34,0
1936-10-03,Sewanee,Home,58,0
1936-09-25,Presbyterian,Home,55,0
1935-11-30,Georgia,Home,19,7
1935-11-23,Florida,Home,39,6
1935-11-16,Alabama,Neutral,7,38
1935-11-09,Auburn,Home,7,33
1935-11-02,Vanderbilt,Home,13,14
1935-10-26,North Carolina,Away,0,19
1935-10-19,Duke,Home,6,0
1935-10-12,Kentucky,Away,6,25
1935-10-05,Sewanee,Home,32,0
1935-09-28,Presbyterian,Home,33,0
1934-12-01,Georgia,Away,0,7
1934-11-24,Florida,Away,12,13
1934-11-17,Alabama,Home,0,40
1934-11-10,Auburn,Home,6,18
1934-11-03,North Carolina,Home,0,26
1934-10-27,Tulane,Away,12,20
1934-10-20,Michigan,Away,2,9
1934-10-13,Duke,Away,0,20
1934-10-06,Vanderbilt,Home,12,27
1934-09-29,Clemson,Home,12,7
1933-12-02,Duke,Home,6,0
1933-11-25,Georgia,Home,6,7
1933-11-18,Alabama,Home,9,12
1933-11-11,Florida,Home,19,7
1933-11-04,Vanderbilt,Home,6,9
1933-10-28,North Carolina,Away,10,6
1933-10-21,Tulane,Home,0,7
1933-10-14,Auburn,Home,16,6
1933-10-07,Kentucky,Away,6,7
1933-09-30,Clemson,Home,39,2
1932-12-17,California,Away,7,27
1932-11-26,Georgia,Home,0,0
1932-11-19,Florida,Away,6,0
1932-11-12,Alabama,Home,6,0
1932-11-05,Tulane,Home,14,20
1932-10-29,Vanderbilt,Away,0,12
1932-10-22,North Carolina,Away,43,14
1932-10-15,Auburn,Home,0,6
1932-10-08,Kentucky,Home,6,12
1932-10-01,Clemson,Home,32,14
1931-12-26,California,Home,6,19
1931-11-28,Georgia,Away,6,35
1931-11-21,Florida,Home,23,0
1931-11-14,Pennsylvania,Away,12,13
1931-11-07,North Carolina,Home,19,19
1931-10-31,Vanderbilt,Home,7,49
1931-10-24,Tulane,Away,0,33
1931-10-17,Auburn,Home,0,13
1931-10-10,Carnegie Tech,Home,0,13
1931-10-03,South Carolina,Home,25,13
1930-12-06,Georgia,Home,0,13
1930-11-27,Florida,Home,7,55
1930-11-15,Pennsylvania,Away,7,34
1930-11-08,Vanderbilt,Home,0,6
1930-11-01,North Carolina,Away,6,6
1930-10-25,Tulane,Home,0,28
1930-10-18,Auburn,Home,14,12
1930-10-11,Carnegie Tech,Away,0,31
1930-10-04,South Carolina,Home,45,0
1929-12-07,Georgia,Away,6,12
1929-11-28,Auburn,Home,19,6
1929-11-16,Alabama,Home,0,14
1929-11-09,Vanderbilt,Away,7,23
1929-11-02,Notre Dame,Home,6,26
1929-10-26,Tulane,Away,14,20
1929-10-19,Florida,Home,19,6
1929-10-12,North Carolina,Home,7,18
1929-10-05,Mississippi State,Home,27,13
1928-12-08,Georgia,Home,20,6
1928-11-29,Auburn,Home,51,0
1928-11-17,Alabama,Home,33,13
1928-11-10,Vanderbilt,Home,19,7
1928-11-03,Oglethorpe,Home,32,7
1928-10-27,North Carolina,Away,20,7
1928-10-20,Notre Dame,Home,13,0
1928-10-13,Tulane,Away,12,0
1928-10-06,Virginia Military Institute,Home,13,0
1928-01-01,California,Neutral,8,7
1927-12-03,Georgia,Home,12,0
1927-11-24,Auburn,Home,18,0
1927-11-19,Oglethorpe,Home,19,7
1927-11-12,Louisiana State,Home,23,0
1927-11-06,Vanderbilt,Away,0,0
1927-10-29,Notre Dame,Away,7,26
1927-10-22,North Carolina,Home,13,0
1927-10-15,Alabama,Home,13,0
1927-10-08,Tulane,Home,13,6
1927-10-01,Virginia Military Institute,Home,7,0
1926-11-25,Auburn,Home,20,7
1926-11-13,Georgia,Home,13,14
1926-11-06,Vanderbilt,Home,7,13
1926-10-30,Notre Dame,Away,0,12
1926-10-23,Washington & Lee,Home,19,7
1926-10-16,Alabama,Home,0,21
1926-10-09,Tulane,Home,9,6
1926-10-02,Virginia Military Institute,Home,13,0
1926-09-25,Oglethorpe,Home,6,7
1925-11-26,Auburn,Home,7,7
1925-11-14,Georgia,Home,3,0
1925-11-07,Vanderbilt,Away,7,0
1925-10-31,Notre Dame,Home,0,13
1925-10-24,Alabama,Home,0,7
1925-10-17,Florida,Home,23,7
1925-10-10,Penn State,Neutral,16,7
1925-10-03,Virginia Military Institute,Home,33,0
1925-09-26,Oglethorpe,Home,13,7
1924-11-27,Auburn,Home,7,0
1924-11-15,Vanderbilt,Home,0,3
1924-11-08,Louisiana State,Home,28,7
1924-11-01,Notre Dame,Away,3,34
1924-10-25,Alabama,Home,0,14
1924-10-18,Penn State,Home,15,13
1924-10-11,Florida,Home,7,7
1924-10-04,Virginia Military Institute,Home,3,0
1924-09-27,Oglethorpe,Home,19,0
1923-11-29,Auburn,Home,0,0
1923-11-17,Kentucky,Neutral,3,3
1923-11-10,Penn State,Away,0,7
1923-11-03,Alabama,Home,0,0
1923-10-27,Notre Dame,Away,7,35
1923-10-20,Georgetown,Home,20,10
1923-10-13,Florida,Home,7,7
1923-10-06,Virginia Military Institute,Home,10,7
1923-09-29,Oglethorpe,Home,28,13
1922-11-30,Auburn,Home,14,6
1922-11-18,North Carolina State,Home,17,0
1922-11-11,Georgetown,Home,19,7
1922-11-04,Clemson,Home,21,7
1922-10-28,Notre Dame,Home,3,13
1922-10-21,Navy,Away,0,13
1922-10-14,Alabama,Home,33,7
1922-10-07,Davidson,Home,19,0
1922-09-30,Oglethorpe,Home,31,6
1921-11-24,Auburn,Home,14,0
1921-11-12,Georgetown,Home,21,7
1921-11-05,Clemson,Home,48,7
1921-10-29,Penn State,Neutral,7,28
1921-10-22,Rutgers,Home,48,14
1921-10-15,Furman,Home,69,0
1921-10-08,Davidson,Home,70,0
1921-10-01,Oglethorpe,Home,41,0
1921-09-24,Wake Forest,Home,42,0
1920-11-25,Auburn,Home,34,0
1920-11-13,Georgetown,Home,35,6
1920-11-06,Clemson,Home,7,0
1920-10-30,Centre,Home,24,0
1920-10-23,Pittsburgh,Away,3,10
1920-10-16,Vanderbilt,Away,44,0
1920-10-09,Davidson,Home,66,0
1920-10-02,Oglethorpe,Home,55,0
1920-09-25,Wake Forest,Home,44,0
1919-11-27,Auburn,Home,7,14
1919-11-15,Georgetown,Home,27,0
1919-11-08,Washington & Lee,Home,0,3
1919-11-01,Davidson,Home,33,0
1919-10-25,Pittsburgh,Away,6,16
1919-10-18,Vanderbilt,Home,20,0
1919-10-11,Clemson,Home,28,0
1919-10-04,Wake Forest,Home,14,0
1919-09-27,Furman,Home,74,0
1919-09-20,Camp Logan,Home,48,0
1918-11-28,Auburn,Home,41,0
1918-11-23,Pittsburgh,Away,0,32
1918-11-10,North Carolina State,Home,128,0
1918-10-26,Camp Gordon,Home,28,0
1918-10-19,11th Cavalry,Home,123,0
1918-10-12,Furman,Home,118,0
1918-10-05,Clemson,Home,28,0
1917-11-29,Auburn,Home,68,7
1917-11-17,Carlisle,Home,98,0
1917-11-10,Tulane,Away,48,0
1917-11-03,Vanderbilt,Home,83,0
1917-10-20,Washington & Lee,Home,63,0
1917-10-13,Davidson,Home,32,10
1917-10-06,Pennsylvania,Home,41,0
1917-09-29,Furman,Home,25,0
1917-09-29,Wake Forest,Home,33,0
1916-11-30,Auburn,Home,33,7
1916-11-18,Georgia,Away,21,0
1916-11-11,Alabama,Home,13,0
1916-11-04,Tulane,Home,45,0
1916-10-28,Washington & Lee,Home,7,7
1916-10-21,North Carolina,Home,10,6
1916-10-14,Davidson,Home,9,0
1916-10-07,Cumberland,Home,222,0
1916-09-30,Mercer,Home,61,0
1915-11-25,Auburn,Home,7,0
1915-11-13,Georgia,Home,0,0
1915-11-06,Alabama,Home,21,7
1915-10-30,North Carolina,Home,23,3
1915-10-22,Louisiana State,Neutral,36,7
1915-10-16,Transylvania,Home,67,0
1915-10-09,Davidson,Home,27,7
1915-10-02,Mercer,Home,52,0
1914-11-26,Clemson,Home,26,6
1914-11-14,Georgia,Home,7,0
1914-11-07,Auburn,Home,0,14
1914-10-31,Sewanee,Home,20,0
1914-10-24,Virginia Military Institute,Home,28,7
1914-10-17,Alabama,Neutral,0,13
1914-10-10,Mercer,Home,105,0
1914-10-03,South Carolina,Home,20,0
1913-11-27,Clemson,Home,34,0
1913-11-15,Georgia,Home,0,14
1913-11-08,Auburn,Home,0,20
1913-11-01,Sewanee,Home,33,0
1913-10-25,Florida,Neutral,13,3
1913-10-18,Mercer,Home,33,0
1913-10-12,Tennessee-Chattanooga,Away,71,6
1913-10-04,Citadel,Away,47,0
1913-09-27,Camp McPherson,Home,19,0
1912-11-28,Clemson,Home,23,0
1912-11-16,Georgia,Home,0,20
1912-11-09,Sewanee,Home,0,7
1912-11-02,Auburn,Home,7,27
1912-10-26,Florida,Neutral,14,7
1912-10-19,Mercer,Away,16,6
1912-10-12,Alabama,Home,20,3
1912-10-05,Citadel,Away,20,16
1912-09-28,11th Cavalry,Home,0,0
1911-11-30,Clemson,Home,32,0
1911-11-18,Georgia,Home,0,5
1911-11-11,Sewanee,Home,23,0
1911-11-04,Auburn,Home,6,11
1911-10-29,Alabama,Home,0,0
1911-10-21,Mercer,Home,17,0
1911-10-14,Tennessee,Home,24,0
1911-10-07,Samford,Away,28,0
1911-09-30,11th Cavalry,Home,22,5
1910-11-24,Clemson,Home,34,0
1910-11-19,Georgia,Home,6,11
1910-11-12,Vanderbilt,Home,0,23
1910-11-05,Auburn,Home,0,16
1910-10-22,Alabama,Away,36,0
1910-10-15,Mercer,Home,46,0
1910-10-08,Tennessee-Chattanooga,Home,18,0
1910-10-01,Gordon,Home,57,0
1909-11-25,Clemson,Home,29,3
1909-11-20,Georgia,Home,12,6
1909-11-13,Mercer,Away,35,0
1909-11-06,Auburn,Home,0,9
1909-10-30,Tennessee,Away,29,0
1909-10-23,Sewanee,Home,0,15
1909-10-16,South Carolina,Home,59,0
1909-10-09,Mooney,Home,35,6
1909-10-02,Gordon,Home,18,6
1908-11-26,Clemson,Home,30,6
1908-11-19,Mercer,Home,16,6
1908-11-14,Sewanee,Home,0,6
1908-11-07,Auburn,Home,0,44
1908-10-31,Tennessee,Home,5,6
1908-10-24,Alabama,Home,11,6
1908-10-17,Mississippi State,Home,23,0
1908-10-10,Mooney,Home,30,0
1908-10-03,Gordon,Home,32,0
1907-11-28,Clemson,Home,5,6
1907-11-16,Vanderbilt,Away,0,54
1907-11-09,Sewanee,Home,0,18
1907-11-02,Georgia,Home,10,6
1907-10-26,Auburn,Home,6,12
1907-10-19,Tennessee,Home,6,4
1907-10-12,North Georgia,Home,70,0
1907-10-05,Gordon,Home,51,0
1906-11-29,Clemson,Home,0,10
1906-11-17,Vanderbilt,Home,6,37
1906-11-10,Georgia,Away,17,0
1906-11-03,Auburn,Home,11,0
1906-10-27,Davidson,Home,4,0
1906-10-20,Sewanee,Home,0,16
1906-10-13,Tennessee-Chattanooga,Home,18,0
1906-10-06,North Georgia,Home,11,0
1906-09-29,Maryville,Home,6,6
1905-11-30,Clemson,Home,17,10
1905-11-18,Georgia,Home,46,0
1905-11-11,Sewanee,Home,18,18
1905-11-04,Tennessee,Home,45,0
1905-10-28,Cumberland,Home,18,0
1905-10-21,Alabama,Home,12,5
1905-10-07,North Georgia,Home,54,0
1904-11-24,Cumberland,Home,18,0
1904-11-16,Tennessee Medical,Home,59,0
1904-11-12,Georgia,Home,23,6
1904-11-05,Clemson,Home,11,11
1904-10-29,Auburn,Away,0,12
1904-10-22,Tennessee,Home,2,0
1904-10-17,Florida,Home,77,0
1904-10-15,Mooney,Home,51,0
1904-10-08,Florida State,Home,35,0
1904-10-01,Camp McPherson,Home,11,5
1903-11-26,South Carolina,Home,0,16
1903-11-21,Tennessee,Away,0,11
1903-11-14,Auburn,Home,5,10
1903-11-07,Florida State,Home,17,0
1903-10-31,Samford,Away,37,0
1903-10-24,Georgia,Home,0,38
1903-10-17,Clemson,Home,0,73
1902-11-27,Alabama,Neutral,0,26
1902-11-22,Tennessee,Home,6,10
1902-11-13,Davidson,Home,6,7
1902-11-08,St. Albans,Home,0,17
1902-11-01,Furman,Away,0,0
1902-10-25,Georgia,Home,0,0
1902-10-18,Clemson,Home,5,44
1902-10-11,Auburn,Home,6,18
